VAR,X,Y,Z,TOTAL,HALO
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,2.55798,0.466128
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,2.84919,0.464027
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,2.95466,0.510493
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.14116,0.518293
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.12224,0.51793
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.13666,0.517234
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.11478,0.526927
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.1325,0.522769
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.10194,0.534638
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.10811,0.520617
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,2.97665,0.507175
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,2.58529,0.482933
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,2.64146,0.401231
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,2.94943,0.420404
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.12842,0.526994
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.13588,0.530371
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.10787,0.518476
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,2.06105,0.395178
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,2.62205,0.451284
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,2.59615,0.448922
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.13109,0.528787
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.11016,0.526423
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.13428,0.517828
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.12927,0.516314
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.14501,0.51827
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.13382,0.516275
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.09881,0.484497
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.10453,0.508006
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,2.96302,0.486021
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,2.67812,0.457749
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,2.67357,0.45239
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,2.82891,0.486589
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.09548,0.495803
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.1399,0.522112
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.14165,0.516355
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.12017,0.539126
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.14118,0.53081
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.13486,0.522419
diffusion-0-0-1-1-1-1-1-1-2-2-2-2-3-4-4-4-py,64,64,60,3.12022,0.529016
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.58774,0.600974
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,4.22727,0.652411
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,4.23313,0.675814
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,4.22991,0.670938
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.90009,0.599539
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.63931,0.608393
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.40177,0.570902
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.30814,0.569711
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.40637,0.570163
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.60934,0.588999
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,4.23045,0.666536
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,4.23058,0.678341
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,4.2363,0.67598
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.54676,0.610264
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.41513,0.562151
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.43414,0.561067
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.46121,0.581458
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.26115,0.554682
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.41094,0.572224
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.7178,0.620924
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,4.2069,0.664222
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,4.25128,0.676996
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,4.22081,0.67139
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,5.86753,1.33583
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.72711,0.564949
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,4.15331,0.645408
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,4.20834,0.655883
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.5393,0.602254
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.49804,0.562764
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.28099,0.554599
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.33488,0.564377
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.49933,0.576433
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.74716,0.589523
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,4.20814,0.637989
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,4.2178,0.655861
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,4.23629,0.664474
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.82324,0.601074
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.44378,0.562938
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.45126,0.575942
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.3962,0.574349
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.50632,0.579717
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.70479,0.62043
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,4.00913,0.578796
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.53132,0.507226
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,4.23504,0.658823
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,4.22703,0.676268
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.94231,0.635058
diffusion-0-0-0-1-1-1-1-2-2-2-2-2-2-3-3-3-my,64,64,60,3.73719,0.612874
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.66134,0.677643
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.45534,0.604603
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.4568,0.629897
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.60436,0.639452
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.67043,0.666005
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,4.02426,0.712774
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,4.19633,0.732511
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,4.17582,0.714034
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,4.20085,0.722488
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.75914,0.70644
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.59361,0.646399
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.42456,0.622332
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.45474,0.64183
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.21107,0.561512
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.36407,0.607967
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.5578,0.621495
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.71912,0.650618
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,4.13964,0.725295
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,4.19502,0.7381
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,4.20662,0.757059
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.82472,0.691376
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.66399,0.647725
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.55545,0.648443
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.45467,0.613218
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.2594,0.566088
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.51019,0.652204
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.5677,0.628748
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.64853,0.643257
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.46641,0.572483
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.2843,0.534657
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,3.87667,0.667837
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,4.17898,0.724979
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,4.17661,0.709208
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-py,64,64,60,4.22728,0.742816
